points z
1066 0.0
1953 1.8e-08
104 3.600000000000002e-08
6 3.6000000000000005e-08
6 3.600000000000003e-08
413 3.600000000000001e-08
1783 5.399999999999998e-08
84 5.399999999999999e-08
78 5.3999999999999974e-08
102 7.200000000000004e-08
419 7.200000000000002e-08
8 7.200000000000005e-08
1939 9e-08
8 1.0800000000000005e-07
78 1.0800000000000007e-07
12 1.0800000000000003e-07
10 1.0800000000000008e-07
419 1.0800000000000004e-07
123 1.2599999999999996e-07
1810 1.26e-07
4 1.4399999999999994e-07
76 1.44e-07
12 1.4400000000000002e-07
12 1.4399999999999997e-07
421 1.4400000000000005e-07
1845 1.6199999999999997e-07
98 1.6199999999999994e-07
56 1.8000000000000008e-07
419 1.8e-07
52 1.8000000000000005e-07
2 1.8000000000000002e-07
1897 1.9799999999999995e-07
52 1.9799999999999997e-07
68 2.1600000000000005e-07
28 2.1599999999999992e-07
417 2.1600000000000003e-07
8 2.1600000000000008e-07
4 2.1599999999999987e-07
2 2.1599999999999984e-07
4 2.1599999999999995e-07
309 2.3399999999999998e-07
1630 2.3399999999999995e-07
12 2.5199999999999993e-07
491 2.52e-07
14 2.5200000000000003e-07
2 2.519999999999998e-07
1945 2.6999999999999996e-07
2 2.699999999999999e-07
2 2.8799999999999993e-07
493 2.88e-07
20 2.8800000000000004e-07
12 2.880000000000001e-07
1941 3.059999999999999e-07
14 3.24e-07
8 3.240000000000001e-07
88 3.2400000000000004e-07
411 3.2399999999999994e-07
2 3.239999999999999e-07
1951 3.4199999999999997e-07
923 3.6e-07
15 3.5999999999999984e-07
51 3.6000000000000005e-07
12 3.600000000000001e-07
6 3.599999999999998e-07
